run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,appliedFaults,error
0,4,livebench-2026-09-01T01-30-12-021Z-0-normal-4,normal,ANCHORED,SATISFIED,587.023,455,132.023,3.727,109.93,0,6,14969,0x8138870d306efee1f35ce0798e6698fc8f7f0d1de10f1100b89361ebc401c711,0xbd232655fd4819ddeda38678dfd902fb2837297829cbd805e6ea9be8b2dce1ac,940,true,true,[],
0,5,livebench-2026-09-01T01-30-12-021Z-0-normal-5,normal,ANCHORED,SATISFIED,1072.065,455,617.065,109.95,492.896,0,6,15077,0x793916907f773be30c0178bf58ca8198ba7f30a717fb7c8420a729f7616925d3,0x43cbff7edefa79b32323b9cd42e4fb3693c7d5ef2bb334f4d678e8a4eec995a9,941,true,true,[],
0,7,livebench-2026-09-01T01-30-12-021Z-0-normal-7,normal,ANCHORED,SATISFIED,1588.551,537,1051.551,527.191,514.42,0,6,15077,0xa1516a83ae979b44af863463d1fc092acf2eecaa335fe5e19683ebb3f3cf4c77,0xf4c898fde077251d637bd31583e6b982da55ad2e1a36de66d064d40ea8e3e2e7,942,true,true,[],
0,2,livebench-2026-09-01T01-30-12-021Z-0-normal-2,normal,ANCHORED,SATISFIED,2092.472,617,1475.472,961.793,502.923,0,6,15079,0x9fbeb5c0581d8dd62bfa4dd4839f9b510e6fdda518dfef5c93a4534bd5cae7c2,0xa8a4ad3cd50d92953a4d60f01ee01e4fa7c706285cf2401db3afee8394362e53,943,true,true,[],
0,9,livebench-2026-09-01T01-30-12-021Z-0-normal-9,normal,ANCHORED,SATISFIED,2598.589,643,1955.589,1438.724,504.02,0,6,15079,0xaa930fdc37995a8db2cb5f1f82ce5bbcaac2fcf63cb52a7433b9882135508682,0xc8888daa76d0bca71c1b5089f06b1d163865762c44d76aa27d1cc4dbf318d116,944,true,true,[],
0,11,livebench-2026-09-01T01-30-12-021Z-0-normal-11,normal,ANCHORED,SATISFIED,3106.82,646,2460.82,1939.542,512.169,0,6,15087,0xe506701da6fb1df850b1d0dff35967c4f6396ba769cf896d9afe7f177458409a,0xaeedc2cdce09840d3354a97586cafa5ca7f30f1f62180ad51ccc6bb0040d803b,945,true,true,[],
0,10,livebench-2026-09-01T01-30-12-021Z-0-normal-10,normal,ANCHORED,SATISFIED,3610.239,651,2959.239,2446.956,502.678,0,6,15085,0xf3e2250a43781c058b3047073b26040c931e3d8ce3311e8eb1b5ad4c895d0779,0x7e591efec1c0612732eda5cf3d777a3e44ea9b96e8fadca4410e74828bdcf684,946,true,true,[],
0,0,livebench-2026-09-01T01-30-12-021Z-0-normal-0,normal,ANCHORED,SATISFIED,4112.969,653,3459.969,2947.767,504.222,0,6,15079,0x006e984cb495ad477c055504a28b3e24bce4472ec8f111bc487238fd0193dfb2,0xda73958e37136cc087ccb8f57034d10362ec06e5bd770f3c233c20371acca0a2,947,true,true,[],
0,14,livebench-2026-09-01T01-30-12-021Z-0-normal-14,normal,ANCHORED,SATISFIED,4629.413,657,3972.413,3440.197,513.721,0,6,15085,0xb1437878af9758b0b632af5b1e3dfcb4060153131c36a4327efc905fdabe4256,0xade4fe3ae34f8919590e6c4bc2cde1d81941d2d70c9408b9217a971d40e761a1,948,true,true,[],
0,6,livebench-2026-09-01T01-30-12-021Z-0-normal-6,normal,ANCHORED,SATISFIED,5248.751,670,4578.751,3948.846,621.924,0,6,15079,0xb548e303bf09f3b5f91afd4a8e4abbd3d54228e2995d208525cd6f3714eeea8a,0xc4cd0e58baac4117eb98eae4220f0a16a98e169b5fe71a19ba41b69c23ebf985,949,true,true,[],
