run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,appliedFaults,error
0,0,livebench-2026-09-01T01-28-00-919Z-0-normal-0,normal,ANCHORED,SATISFIED,492.504,87,405.504,0.008,390.033,0,6,15079,0xf5bd737707879d88de0e0c8138fe4ce938c57b455732c82f035c0f46270af59c,0x66be3377a21be3d25f244c46aa7f39830b73abd0bc20665c7f35a96ee56328e7,692,true,true,[],
0,1,livebench-2026-09-01T01-28-00-919Z-0-normal-1,normal,ANCHORED,SATISFIED,630.86,67,563.86,0.011,553.617,0,6,15077,0xe4791f58e43fb1286b0fe45f8ca5825bce008eb87da5d00cd7faeb860a312fb9,0xad0e4b077175816fc930b63492d4b579db05858f5f14b7e5beb04c7ebbadafa6,693,true,true,[],
0,2,livebench-2026-09-01T01-28-00-919Z-0-normal-2,normal,ANCHORED,SATISFIED,549.668,57,492.668,0.008,484.364,0,6,15079,0x596267055670c55eec0213353d9c097e4e9e5cd9fba6d5a45ec024a1275f19e1,0x0b1efa3c96f4a35250be51d8652a012d2c446e06e878c3ae0c0793be177bfbf9,694,true,true,[],
0,3,livebench-2026-09-01T01-28-00-919Z-0-normal-3,normal,ANCHORED,SATISFIED,509.155,51,458.155,0.008,445.386,0,6,15077,0xc5a7583ec6eaeb59835938f3c383a07f0165425fdc2ad7da36b8cdc05ca90df4,0xbe0d48efb9edcf0f439a19a37037a446b5aa5df03a32984c1d07dab0bd6568e7,695,true,true,[],
0,4,livebench-2026-09-01T01-28-00-919Z-0-normal-4,normal,ANCHORED,SATISFIED,527.022,60,467.022,0.011,452.18,0,6,15079,0xe9c375d857342fd2d20604b4c1460117904390cc4195d57a4b87c6fb4ffbd9c2,0x5d9f14294beeab41dfa9f65d25bf9aa06132f37c32ef5b3b189c3c0d6bf2a23f,696,true,true,[],
0,5,livebench-2026-09-01T01-28-00-919Z-0-normal-5,normal,ANCHORED,SATISFIED,558.527,52,506.527,0.013,493.404,0,6,15079,0x594cc625a69c4eef0d495ae951b74594005d410eee3cb80f8070711550d23105,0x7d50a74ff2e2e85304301a02ae9fb52081b2f8719f707a0cdc687e2eaaeb1d91,697,true,true,[],
0,6,livebench-2026-09-01T01-28-00-919Z-0-normal-6,normal,ANCHORED,SATISFIED,509.296,53,456.296,0.011,442.395,0,6,15079,0xa34be45705b3187d93e7f93d06c4a5849e37d628472994fcdbdc3bcb01e889df,0x363e5c5b270dcdf747d8c75004da79cea5380b8ab69a1d849163084fd4e66a4c,698,true,true,[],
0,7,livebench-2026-09-01T01-28-00-919Z-0-normal-7,normal,ANCHORED,SATISFIED,511.272,65,446.272,0.016,430.552,0,6,15077,0x0ecdaa2a2cb5272253383b5689eedcebeca49b5bc78cd2dd2a73360f9be43795,0x3ece031e0448aa1a042120f5c2b0a7151d239324b1f1c0415196e4281d27d24b,699,true,true,[],
0,8,livebench-2026-09-01T01-28-00-919Z-0-normal-8,normal,ANCHORED,SATISFIED,504.349,68,436.349,0.007,423.414,0,6,15079,0x6a195e2d7f3f581e63153d33b93f4d07829f00589d7c05c332a98e80603762ce,0xc173a33a0fec4fc58e833894d6615f8a9a5517047f111bf69cd6f80e5a9b3e9e,700,true,true,[],
0,9,livebench-2026-09-01T01-28-00-919Z-0-normal-9,normal,ANCHORED,SATISFIED,493.048,57,436.048,0.064,421.161,0,6,15077,0x4db496f33c2041b82bf39f8940ebbbed08e5ce6c18a224d4984066e8ecbb1f42,0xd9f7c6449d8d84ef1404b7ceab48689ac17a419930638c5baff738482fb40371,701,true,true,[],
0,10,livebench-2026-09-01T01-28-00-919Z-0-normal-10,normal,ANCHORED,SATISFIED,508.916,50,458.916,0.005,447.547,0,6,15085,0xc557cc09351fff8b551148dcf9518615197100612f0c3cfd7154884136480aef,0x740f69ad8953a691ba105aa13b34508ad1d82e3fc94f2c7a5e52729c1d5b0e0c,702,true,true,[],
0,11,livebench-2026-09-01T01-28-00-919Z-0-normal-11,normal,ANCHORED,SATISFIED,489.851,59,430.851,0.005,418.981,0,6,15085,0xe569977cbe2627a21b65ce6676634726b864ac338fc53cc13129ee82ed35e8f4,0x79e4437952f25830c5d89b602089cb1e7feb669db176a796a13c1ad9d7a0cd5d,703,true,true,[],
0,12,livebench-2026-09-01T01-28-00-919Z-0-normal-12,normal,ANCHORED,SATISFIED,506.796,48,458.796,0.005,450.114,0,6,15085,0x1728808686201fc306cb36b61381be82fd11c504fb48b59b202ad9e590a8da4a,0x31f130fd25c0ad39ed16e0bd9669f2ad950e8b48915627c5417ea6c8c7d7e4ca,704,true,true,[],
0,13,livebench-2026-09-01T01-28-00-919Z-0-normal-13,normal,ANCHORED,SATISFIED,611.002,45,566.002,0.005,448.966,0,6,15085,0xa387dea49e1e12718339de6226626b89a25c5b61e2a6f73eab8c0249da2badff,0x33682d813eff6f33c11115d24efae92a14a1cb25b8ec94a5e03368a2f6f13249,705,true,true,[],
