run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,anchorPoolIndex,anchorSigner,auditVerified,expectedBehavior,appliedFaults,error
0,1,livebench-2026-09-02T03-58-29-214Z-0-normal-1,normal,ANCHORED,SATISFIED,524.55,174,350.55,0.004,342.984,0,6,15087,0x64206e1c4b764e011441f283042e6b35ce8939ad4d9cb17bf0283f5c6fa6fe06,0x142ea95900da26afa4ea15e42a26af17c6c10323e7bcf4dd798bf79b9a41d072,1331,2,0xca03e01f29618893FfC1CD11ad0C18beb894e922,true,true,[],
0,0,livebench-2026-09-02T03-58-29-214Z-0-normal-0,normal,ANCHORED,SATISFIED,536.267,180,356.267,0.002,347.483,0,6,15087,0xfba480ca6653e1aebb621822006324563b557ffbdb605fb57cb14ccb174815fa,0x1cffcb0543815478db56cf350e474c7ec162582cfc75cafbe3bacab948b13c45,1331,1,0x9b5Ab35700f0b580e37E234C1391460712410168,true,true,[],
0,4,livebench-2026-09-02T03-58-29-214Z-0-normal-4,normal,ANCHORED,SATISFIED,545.78,177,368.78,0.003,361.559,0,6,15085,0x6983017d80e878a1f9f86b339c4a11c09520d42946e95de1ecfe27a50d065946,0xb73154056510be70e56054f1d964ee39e643f57f11ef5f9c63e9bb47e4cac7fb,1331,3,0xE9f57eA4dB23E9A50Fa8Cf12cF6EF3F1a12901F0,true,true,[],
0,5,livebench-2026-09-02T03-58-29-214Z-0-normal-5,normal,ANCHORED,SATISFIED,554.661,179,375.661,0.005,368.867,0,6,15087,0x2a9823a707025b5ed2f3617a5434bc21b373ad29de1859d8650506f9aa5f1b1f,0x3166bc7bd8b463a821fd8b03b7cec4b3cac1eb645aef0107bb2bd7c49c08613b,1331,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,3,livebench-2026-09-02T03-58-29-214Z-0-normal-3,normal,ANCHORED,SATISFIED,1034.223,183,851.223,333.562,508.986,0,6,15085,0x1ba8ff01f7d92017d50da209c49f63a199f41932401a9c7bcb98e01213bd852e,0x18e0eac469b038c63133a97190efdeeef8efaf6c9383cb214d662c1cbb1750e7,1332,2,0xca03e01f29618893FfC1CD11ad0C18beb894e922,true,true,[],
0,7,livebench-2026-09-02T03-58-29-214Z-0-normal-7,normal,ANCHORED,SATISFIED,1045.609,186,859.609,340.407,509.453,0,6,15085,0x863847b6a7209584a7fe6a25dfc3aca3d72363a75515ec44807f647807106af0,0xe1b7bc294d974c0d6a204ee990382e9d37d1b81980cba6fa87dc1243098abb1c,1332,1,0x9b5Ab35700f0b580e37E234C1391460712410168,true,true,[],
0,2,livebench-2026-09-02T03-58-29-214Z-0-normal-2,normal,ANCHORED,SATISFIED,1055.024,186,869.024,361.59,500.571,0,6,15085,0x66ff5c42cf4342cde4e4206b07549e6696a7b085623c7b3cda8b113119994b42,0x35b01cf1662f14d0cc909abbc0978105abd1a555f284a4d7e0253e45fba8cce1,1332,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,6,livebench-2026-09-02T03-58-29-214Z-0-normal-6,normal,ANCHORED,SATISFIED,1065.545,185,880.545,353.877,518.32,0,6,15087,0xa5b4c7742bd0f919a6fe6ea5580f278f80e9a8d411ed5ef9a3a9253ff1d96d66,0x6e8bb5aa8d755d39172ade9d50d8d5505226ce0b085b8eace98377a4496caeff,1332,3,0xE9f57eA4dB23E9A50Fa8Cf12cF6EF3F1a12901F0,true,true,[],
0,8,livebench-2026-09-02T03-58-29-214Z-0-normal-8,normal,ANCHORED,SATISFIED,1074.76,169,905.76,353.267,544.793,0,6,15087,0xbbca296300179f30477ec22bb53dbc1f459fadff9acc6bf910f45815c67b7028,0xea2ba5db0a7eb46980a4a0325c4564d8900ba586fc17a3541cdcc6151e67b42f,1333,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,11,livebench-2026-09-02T03-58-29-214Z-0-normal-11,normal,ANCHORED,SATISFIED,1053.504,141,912.504,339.547,564.884,0,6,15093,0xdd9f0d9a6fc786c882e7e7284b231cefb3de21ef78d33a34be96b63c8ad708f1,0x92f6e2cc4bce99c48689ec2efe26993c8c9e3c17447ee3bd3da805bbb5514f7e,1333,1,0x9b5Ab35700f0b580e37E234C1391460712410168,true,true,[],
0,10,livebench-2026-09-02T03-58-29-214Z-0-normal-10,normal,ANCHORED,SATISFIED,1075.292,143,932.292,335.471,587.187,0,6,15095,0x7ebc8d25ba635f22a6060be6870ca3d2f4e73604675bfbcfd1675de2bbbea0fc,0x93f2a8dd6c293e1a1dcbdb6f5e76b96b7b74b25b31bacae45d68b9bd45168f0a,1333,2,0xca03e01f29618893FfC1CD11ad0C18beb894e922,true,true,[],
0,9,livebench-2026-09-02T03-58-29-214Z-0-normal-9,normal,ANCHORED,SATISFIED,1096.349,155,941.349,363.507,568.916,0,6,15087,0x46c0060f9c18001d4314d4eaa712b3afa0f0ab3dc536bfe9c6b8f4b0c5156a78,0x6f9eaf244493fa77f82f5cc44380f255cdcb60f60249d2645614ded0a09bddac,1333,3,0xE9f57eA4dB23E9A50Fa8Cf12cF6EF3F1a12901F0,true,true,[],
