run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,error
0,0,livereg-2026-09-01T01-38-26-234Z-0-normal-0,normal,ANCHORED,SATISFIED,182.495,83,99.495,0.105,73.967,0,6,16014,0x142dc98e74f8094ff02f999f27ba1f32dac12d65933196269f152809be795675,0x54d158c78d38d1c9728f7d811640877b63169b09236b6e984c543cb9f1116ff6,1010,true,true,
0,0,livereg-2026-09-01T01-38-26-234Z-0-over_limit-0,over_limit,ANCHORED,UNSATISFIED,496.052,59,437.052,0.004,429.268,0,6,16083,0x73d83b25dbb51e1390507bc85f96e448d61912a5a9a3bb306a798468a466c2db,0x8f6dd4d8981cf58568bdd9c779cee52e867b02d19d767ded80b3b4fe328ff51d,1011,true,true,
0,0,livereg-2026-09-01T01-38-26-234Z-0-subject_mismatch-0,subject_mismatch,ANCHORED,UNSATISFIED,499.795,56,443.795,0.005,436.472,0,6,16185,0x6856899ea5742e9681917dc6664734bf79aec61695a10101c0897c7c18fcc2d0,0xf8039770b9303df876daa3bd5d3bb152a88db4b20d5cf1601bb85f0932b1efca,1012,true,true,
0,0,livereg-2026-09-01T01-38-26-234Z-0-missing_disclosure-0,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,512.157,58,454.157,0.009,446.179,0,5,14206,0x70b701c647de4cf9593a6def209eb6138e71d7ad294e12403bc6c8f602d12583,0xfca7c0a0d45410b59dc33c3df58ece17fc2fcf6908c98331c66e9759c216ee1f,1013,true,true,
0,0,livereg-2026-09-01T01-38-26-234Z-0-endpoint_retry-0,endpoint_retry,ANCHORED,SATISFIED,495.536,52,443.536,0.007,436.481,1,7,16610,0xd8127610ebec1d4881999a7add5d27259e78e0eb58b737f46708cefd580dbff0,0xde8f78ae473e7dc1f486f760cdf1c0c61fa4a9499f537dd470c5f930d8413252,1014,true,true,
