run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,error
0,3,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-3,endpoint_retry,ANCHORED,SATISFIED,501.62,57,444.62,0.008,434.081,1,7,16610,0x12a01a6c30240916960b6d86ff018a52d40c522ce488df9bfa7be6d766814a50,0x3a21970a49dbfcbda9db97127f5e1d95bb07cb2d27657b2981730d98961c87b1,1059,true,true,
0,4,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-4,endpoint_retry,ANCHORED,SATISFIED,504.853,50,454.853,0.004,448.516,1,7,16611,0xa5eb1b7fa040447daffdbd86d86973a928b4a737dc2633b55a1207d718d84d0c,0x60bb1311f7627d1c4e1b35358808070b7d313cf4f81ed4871127e55fd5c5f080,1060,true,true,
0,5,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-5,endpoint_retry,ANCHORED,SATISFIED,503.775,63,440.775,0.012,431.679,1,7,16610,0xea5150243347c079e8ae30e351b1782e9438d1239712e441c2e8a6289a88798d,0x3a61249fd3b46167fec330bc8a88106798506752b76fd8df1db2969ef786f147,1061,true,true,
0,6,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-6,endpoint_retry,ANCHORED,SATISFIED,509.924,88,421.924,0.005,412.166,1,7,16610,0x7284fe72481328640fb9bbe5d0cc72d4982d8da9efd92e431bf2cfdaeddf0450,0xb067f19870476f90d0c13744fe361a2cd420a74864e12c687b8cb8ed73645eb2,1062,true,true,
0,7,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-7,endpoint_retry,ANCHORED,SATISFIED,493.947,52,441.947,0.006,433.155,1,7,16610,0xf67c5fd499f4ac639f5f8244ecbd1b138020d328e6f89ad8081fb14217583d30,0x577ce09b092b5bc1f411b77dfd1651e4721f2f430c7426ae4a07559214342a1f,1063,true,true,
0,8,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-8,endpoint_retry,ANCHORED,SATISFIED,499.92,43,456.92,0.003,450.608,1,7,16610,0xf241b205e80c62bf5c8a27d408b74f605748e9efc5b4f50188eb671bacb86ba3,0x756fd3e1d7f4f0c393f2b449aa3744e42ad676fd7712077a9aedd704b4cf0be9,1064,true,true,
0,9,livereg-2026-09-01T01-38-58-803Z-0-endpoint_retry-9,endpoint_retry,ANCHORED,SATISFIED,556.922,47,509.922,0.003,501.2,1,7,16502,0x24bd3cfa2c716d0e3e6f92c18d71fc77b228eeb4648ee197bb3795e7666cf7a1,0xbd028b658224139be57e41d8f950aa0d736e0504a4764833e71344e002875ea4,1065,true,true,
1,0,livereg-2026-09-01T01-38-58-803Z-1-normal-0,normal,ANCHORED,SATISFIED,505.138,45,460.138,0.004,451.251,0,6,15905,0xcc369ae7ff86d185985f7f2ab40f5ce809ed23d57bb8ecce0f158922ad530857,0x75824594afe4f2029ee54b82b8416e17834dd90d67563137fbf4ea406906c852,1066,true,true,
1,1,livereg-2026-09-01T01-38-58-803Z-1-normal-1,normal,ANCHORED,SATISFIED,603.968,41,562.968,0.005,556.491,0,6,16013,0x47f42525cc9435e6e444a966d401c0ad301095f1fa944fd7b62d311761541905,0xa8cd57ce9e0e490745a1a12b4998fdb3d06b8062c918b99c5cc7bbec3949dd2a,1067,true,true,
1,2,livereg-2026-09-01T01-38-58-803Z-1-normal-2,normal,ANCHORED,SATISFIED,506.541,38,468.541,0.003,460.576,0,6,16013,0x30ce44421bb00a8d9c414f4d954080448e2594dd74c007232cfd7ada11384f1f,0x497f1da471e4f3f89bf3ef0c55cdec6894ac23237de269e82f7a748738207363,1068,true,true,
1,3,livereg-2026-09-01T01-38-58-803Z-1-normal-3,normal,ANCHORED,SATISFIED,556.919,50,506.919,0.005,500.516,0,6,16013,0x8f75b2359b63d93f36bc0d5cd4e08a095e16047f482a5e2c010e8b0f446e2776,0x8fa7afbc8802a6b34ad3c86cf7f4d39beb0fed4755715161ca2c18fd1756f380,1069,true,true,
1,4,livereg-2026-09-01T01-38-58-803Z-1-normal-4,normal,ANCHORED,SATISFIED,473.835,49,424.835,0.008,417.226,0,6,16014,0xfa6ed4b8510fc7b9c0a4c0a477323550d49a449c5b8c5eb6949295998097dc02,0xcd44b09e90b2eb9b2f87dd017995d53080163e893d351c9dcaf1fd8dd1a21de8,1070,true,true,
1,5,livereg-2026-09-01T01-38-58-803Z-1-normal-5,normal,ANCHORED,SATISFIED,504.557,44,460.557,0.004,453.702,0,6,15905,0x6cbee9d404fae7633261e811d25f2c19a4c1076d5bf2bd7a59857a3d0f2cb20a,0xd6820da0456d2bf76a59e850e0edc75ef95a39265c26e0e8ef641ac606bcdb77,1071,true,true,
1,6,livereg-2026-09-01T01-38-58-803Z-1-normal-6,normal,ANCHORED,SATISFIED,510.809,41,469.809,0.005,461.263,0,6,16014,0xa90d30192429c98d60df0e2ae2eaba4721bc754b3eb023ca8fc5be33b8e14683,0x665fc7405e1ac165ed9f9eb864c78138427057c18968a9ba3c927bf93f6762cd,1072,true,true,
1,7,livereg-2026-09-01T01-38-58-803Z-1-normal-7,normal,ANCHORED,SATISFIED,501.596,43,458.596,0.004,452.788,0,6,16013,0x68ab6ab602ceea48de37eb7f9cdadb01310f125d5d62b7f8a4be93f9fbee8b0c,0x71bc7d9e18d3451423a4bf3c07ebab5a15b212815fe06f81acf466d446f79eed,1073,true,true,
1,8,livereg-2026-09-01T01-38-58-803Z-1-normal-8,normal,ANCHORED,SATISFIED,548.241,49,499.241,0.004,493.204,0,6,15905,0xe9adb180386736636a6c82178ae7201a7bd709b4e65b16f10ed2a6fe77e52028,0xb3d3cc2d409176cc8e783b0763a516ea9862edf6354504fc9f2ebe587dfb0478,1074,true,true,
1,9,livereg-2026-09-01T01-38-58-803Z-1-normal-9,normal,ANCHORED,SATISFIED,506.257,51,455.257,0.003,447.288,0,6,16014,0xe32f6ce76425048395da0067dbdf41c5f8ce0c540e346ec875ff3569c2d0a0e3,0xa5f115451f20c85ad890ccb4786e87ee483b039686406a71ff04dac54035d6fd,1075,true,true,
1,0,livereg-2026-09-01T01-38-58-803Z-1-over_limit-0,over_limit,ANCHORED,UNSATISFIED,533.316,51,482.316,0.01,474.262,0,6,16084,0x0f9f7ba0405fc75126d9b0d002bfa134840dd7e4e0348a9c18ba44dfefbb105d,0x14685eb1cbdf03a0b3d1c54884e09c211f5012f45380f8766216630824b37b69,1076,true,true,
1,1,livereg-2026-09-01T01-38-58-803Z-1-over_limit-1,over_limit,ANCHORED,UNSATISFIED,504.77,53,451.77,0.006,442.085,0,6,15975,0x032abc8e3eb18179403e2631c7e593fec8578d540a686e7eb7ecb18a636b9aa0,0x6938e9359985bbab9eee8e4c68b32047859fd3a351a5280df39f7fe2e5500636,1077,true,true,
1,2,livereg-2026-09-01T01-38-58-803Z-1-over_limit-2,over_limit,ANCHORED,UNSATISFIED,532.591,51,481.591,0.004,472.797,0,6,15975,0x9cb159a69ab14050d161cc7db75d4c1b383b48206a52d1633b8924cf8f4b56c0,0x41a1fb6ecfb41c395b3f065c033037c8e5d52cce76da623c04bb0544ddd6fbf4,1078,true,true,
1,3,livereg-2026-09-01T01-38-58-803Z-1-over_limit-3,over_limit,ANCHORED,UNSATISFIED,498.285,48,450.285,0.008,442.051,0,6,15975,0x15397c1b2244194e243c4fea5119589082c0551b633ae84c583c124b76943b36,0x0d095e2eb4959493c6fb222cb20ec5aa88d6b9f1c3e4340718dc429bcc286f0f,1079,true,true,
1,4,livereg-2026-09-01T01-38-58-803Z-1-over_limit-4,over_limit,ANCHORED,UNSATISFIED,503.573,39,464.573,0.003,458.073,0,6,16084,0x82cdad2f7d17e6bfa7d176796ad7a336e45cc2d03a6d6185068c088dfcd221a7,0xacffea5caf7eb4d51bddaa611cb569525e552c2b1c4c588fe8588e9490d18fe2,1080,true,true,
1,5,livereg-2026-09-01T01-38-58-803Z-1-over_limit-5,over_limit,ANCHORED,UNSATISFIED,536.474,39,497.474,0.009,491.258,0,6,16083,0xcd549fe8156595be2f3740ae5a7ecfbe3f823f42fa34344c10c27e7089ec47a6,0x1cea82bc6d2ae76ae3b16b21f2cb514662d07f290dfaf45338bdd4843e9ea757,1081,true,true,
