run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,appliedFaults,error
0,0,livebench-2026-08-25T01-31-48-934Z-0-normal-0,normal,ANCHORED,SATISFIED,492.496,83,409.496,0,6,14484,0x6539bfa044c57222120ad205a2cdee17fd9a70edf82abbaa9f58c81fb309816e,0x31af377c215eaa43b4a9047d335a05627e58fed3d11371d54a452e83735fc673,14,true,true,[],
0,1,livebench-2026-08-25T01-31-48-934Z-0-normal-1,normal,ANCHORED,SATISFIED,541.986,101,440.986,0,6,14484,0xcf2e82b892db323e3e92de361daaee4da7d4baca28baa969b5cee862da77a463,0xf90206bba87f5b358dc10eca7a72e0b00b39b7cd5dc3a05c986580b6281994c1,15,true,true,[],
0,2,livebench-2026-08-25T01-31-48-934Z-0-normal-2,normal,ANCHORED,SATISFIED,452.919,118,334.919,0,6,14486,0x74d7808265941e654ffedfcf8616fb28b12eb8e0b6ec3784c7a0102ccf47f438,0x73d76e4d0b7d7460e51ec02a9993de4e0de4d609982f7566b319c82ab1c67c29,16,true,true,[],
0,0,livebench-2026-08-25T01-31-48-934Z-0-fabric_endpoint_retry-0,fabric_endpoint_retry,ANCHORED,SATISFIED,502.359,62,440.359,1,7,15032,0x68c0d0dfc11d92afe5d9378e03c71a14fa2d780d71d4ff011d5bb41d86e86924,0xcd263e07e4fcc9b5709599ab8aec3e5b98e9a4023e476d054627c007e658a2a1,17,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-fabric_endpoint_retry-0"",""nodeId"":""order_fabric"",""attempt"":1,""candidate"":""fabric-peer-0"",""action"":""error""}]",
0,1,livebench-2026-08-25T01-31-48-934Z-0-fabric_endpoint_retry-1,fabric_endpoint_retry,ANCHORED,SATISFIED,539.364,70,469.364,1,7,15034,0x8d1c5cc95bfdab4d74cf60e3432184d7e9af3d96e8934339060d5ca7c6b518f0,0x868e82642b198b9c56af66995f954de6f2e5b0f55b027b0420b40722f8ecfd38,18,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-fabric_endpoint_retry-1"",""nodeId"":""order_fabric"",""attempt"":1,""candidate"":""fabric-peer-0"",""action"":""error""}]",
0,2,livebench-2026-08-25T01-31-48-934Z-0-fabric_endpoint_retry-2,fabric_endpoint_retry,ANCHORED,SATISFIED,487.051,49,438.051,1,7,15034,0xff60ed44a4dc9ec2a9c6ae35c4d48d0fb679adccb1eb6cea1d6569096aea1e66,0xec21f3bf408b9566e0b0f553f282080aabb59d49f648a3fa399f359e6c4be712,19,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-fabric_endpoint_retry-2"",""nodeId"":""order_fabric"",""attempt"":1,""candidate"":""fabric-peer-0"",""action"":""error""}]",
0,0,livebench-2026-08-25T01-31-48-934Z-0-fisco_endpoint_retry-0,fisco_endpoint_retry,ANCHORED,SATISFIED,502.861,56,446.861,1,7,15034,0xc83481fc989dba70979dce72fa850d0b16d73bade984a4e06949274e35fa1215,0x67ed8a34ab65683e4b7d8e91608539266052ebf5f05027ba53c671e35ca0526a,20,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-fisco_endpoint_retry-0"",""nodeId"":""logistics_fisco"",""attempt"":1,""candidate"":""fisco-node-0"",""action"":""error""}]",
0,1,livebench-2026-08-25T01-31-48-934Z-0-fisco_endpoint_retry-1,fisco_endpoint_retry,ANCHORED,SATISFIED,506.054,59,447.054,1,7,15032,0x2ad5d0891fa5cbaaeca2a5a7ebfd2463e641371294f39be8562c9822a0939298,0xbd2d8354a49103e22ea6758c1a8594c9e4700a1594f6ac3bd96e0b909f509048,21,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-fisco_endpoint_retry-1"",""nodeId"":""logistics_fisco"",""attempt"":1,""candidate"":""fisco-node-0"",""action"":""error""}]",
0,2,livebench-2026-08-25T01-31-48-934Z-0-fisco_endpoint_retry-2,fisco_endpoint_retry,ANCHORED,SATISFIED,503.842,44,459.842,1,7,15032,0x95b822929163b553f4a8b9b950ccad112c80ab94955fb29f604feaa2ed0f08b1,0x11e64a4461160e492fffe41e1088337177d1ac1d0475c9356d1a82e565dfc19d,22,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-fisco_endpoint_retry-2"",""nodeId"":""logistics_fisco"",""attempt"":1,""candidate"":""fisco-node-0"",""action"":""error""}]",
0,0,livebench-2026-08-25T01-31-48-934Z-0-semantic_service_timeout-0,semantic_service_timeout,ANCHORED,SATISFIED,506.899,269,237.899,1,7,15168,0x6ffacf44b1cee34384f4a05eb1a7f5a4e92e5241270b63f0bd31eb8587763bf7,0x6504b5daf237cb5b7378f60abb1e566e5b533a2433d587725a308a2222a4d313,23,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-31-48-934Z-0-semantic_service_timeout-0"",""nodeId"":""quality_semantic"",""attempt"":1,""candidate"":""local-semantic-a"",""action"":""timeout""}]",
