run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,anchorPoolIndex,anchorSigner,auditVerified,expectedBehavior,appliedFaults,error
0,0,livebench-2026-09-02T03-58-01-971Z-0-normal-0,normal,ANCHORED,SATISFIED,418.982,61,357.982,0.003,347.285,0,6,15085,0x4e1f73deab3190e09258cb64e101a441fe599014d649be016e28a299bb17780a,0xcdf892df9ff78f0d035c4854ac038a86d3248c6d085301b76258355410e12864,1282,3,0x4E33f03f065e84655B60BcaE6B2167C19C2d2869,true,true,[],
0,1,livebench-2026-09-02T03-58-01-971Z-0-normal-1,normal,ANCHORED,SATISFIED,446.748,59,387.748,0.003,370.84,0,6,15085,0x21b7a98e9bc286243466dd088d68fbd53373a4184fc42a278cec9e0206a98a78,0xa0a33ebc4487289f6ece0a6f88d74bcd995ae5ead05aae64a37fcdeb95ec968c,1282,2,0x2284817aB02B574D29f907c6C5A9DC263E76f389,true,true,[],
0,3,livebench-2026-09-02T03-58-01-971Z-0-normal-3,normal,ANCHORED,SATISFIED,470.227,141,329.227,0.019,320.401,0,6,15087,0x208f1997863892a0f536245e39ebbf2532a178ef67fada91ebf4bf5f9c08884a,0x736c9198b2895da8ed9dc95f4ff93e16b84ea1fd1de58fbdb631ebdacbf83121,1283,1,0x33189321b3b29CE205D10dc4B3006F78FC361151,true,true,[],
0,2,livebench-2026-09-02T03-58-01-971Z-0-normal-2,normal,ANCHORED,SATISFIED,511.592,159,352.592,0.007,335.748,0,6,15085,0x86f86e6dd6799655d9eb98e9e33230000859cc010701105c1d1ba0f612c02228,0x43aa0b386b8848053bf082b283a1c9079aa3466184c77702de3117976bfd01b2,1283,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,5,livebench-2026-09-02T03-58-01-971Z-0-normal-5,normal,ANCHORED,SATISFIED,489.808,59,430.808,0.014,420.761,0,6,15087,0x8f16a2c327c09be7b8b7e30c9a4f4c400f87229924f3bdbad812db2df62d4c0f,0x5cec5d35e2d9cd2dbb59db0fd157292284608e28278d1d1ad6dfadd147963e9c,1284,2,0x2284817aB02B574D29f907c6C5A9DC263E76f389,true,true,[],
0,4,livebench-2026-09-02T03-58-01-971Z-0-normal-4,normal,ANCHORED,SATISFIED,509.676,73,436.676,0.008,427.449,0,6,15085,0x51c9d289402361d2ffa40e1c50cf180f5176298d5ab40cf1b576b05d96b4cfc3,0x0bd768cca1778ac8118ff4adbfb66c3ed529d73de1a05558bfb6983c141789ce,1284,3,0x4E33f03f065e84655B60BcaE6B2167C19C2d2869,true,true,[],
0,7,livebench-2026-09-02T03-58-01-971Z-0-normal-7,normal,ANCHORED,SATISFIED,495.502,65,430.502,0.004,423.057,0,6,15085,0xe272e665374488238b77f4e4a2b9ee1166c7a9e14f47b6e868ff925df6ff9517,0x76bf16a73dcd7266ac7c728eb0bc30b9921fb69b451efc6cb883556138d22d95,1285,1,0x33189321b3b29CE205D10dc4B3006F78FC361151,true,true,[],
0,6,livebench-2026-09-02T03-58-01-971Z-0-normal-6,normal,ANCHORED,SATISFIED,516.487,71,445.487,0.004,436.584,0,6,15085,0xcd31037b383efaecd678989d9874e237a9c1688ecc5ef69bb307982e08a3a95b,0x2648a7e5f1f0bfd7a0ed93737966181d1b70f0fc21dea213e7fdedada0e12dae,1285,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,8,livebench-2026-09-02T03-58-01-971Z-0-normal-8,normal,ANCHORED,SATISFIED,498.018,67,431.018,0.004,424.463,0,6,15085,0x7c1fa47720f424b8373982849e0bacb23429222c29dd199588899fc0a01efa81,0x12af77db46fae63d51fca28b11fdc01ad0f2b65931f19b7d456606487d76aaab,1286,2,0x2284817aB02B574D29f907c6C5A9DC263E76f389,true,true,[],
0,9,livebench-2026-09-02T03-58-01-971Z-0-normal-9,normal,ANCHORED,SATISFIED,498.215,59,439.215,0.004,429.987,0,6,15087,0x396389ada7be33b9a3bd3f6905dbf1f2464f6a551cb6bfd059222735eea2cc8a,0x2e488fbcff38a3a93ca18ce4c6d174278734e086760bc034385d33978154b7ce,1286,3,0x4E33f03f065e84655B60BcaE6B2167C19C2d2869,true,true,[],
