run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,anchorPoolIndex,anchorSigner,auditVerified,expectedBehavior,appliedFaults,error
0,0,livebench-2026-09-02T03-58-19-675Z-0-normal-0,normal,ANCHORED,SATISFIED,521.205,131,390.205,0.006,383.951,0,6,15085,0xb39acf38d510278ca4532364782a7aa48c090681da24427bbaf3fd14ddeeefb1,0x01addfb83e17fa7c66381e118c375c07ca57df0f9c499da267f60edc4caf927f,1314,1,0x5d6B631446e0C25B03e503971b9D995786866D45,true,true,[],
0,1,livebench-2026-09-02T03-58-19-675Z-0-normal-1,normal,ANCHORED,SATISFIED,532.34,124,408.34,0.005,401.145,0,6,15085,0xac613e2b55ad456cbd7d3f4bac581868e9602685056911f6ab8ea50f87a47051,0xb50fd007831b3a6cacf1c973423a66f91f949ef3a22ee0d65f30ea502f8c7a98,1314,3,0xC072BB286a1d180F82BF60Af1FB9B41a502e43d5,true,true,[],
0,2,livebench-2026-09-02T03-58-19-675Z-0-normal-2,normal,ANCHORED,SATISFIED,541.548,121,420.548,0.004,412.993,0,6,15087,0x4bcff21c31ba1f59cdb0177dbd1d0cb68202afa5dbd52d7773637f85658800b3,0xa94b8b664ad5559e730748fe4647fc1fbdc3f188e2f2352cb70a994ec1701fba,1314,2,0xFf5024aa8476C76bc12331a5e1ef7766F353f8dc,true,true,[],
0,3,livebench-2026-09-02T03-58-19-675Z-0-normal-3,normal,ANCHORED,SATISFIED,557.568,126,431.568,0.006,419.295,0,6,15087,0xea6d72bb48dc0f27f4b3d5727f1ea477ca907c2e9ffd3c2c12a1b89d446380f3,0xa422eab7d9303e4776b889121e322aeb0174ec13edf1969bffd0a0ae030e39c4,1314,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,7,livebench-2026-09-02T03-58-19-675Z-0-normal-7,normal,ANCHORED,SATISFIED,471.975,116,355.975,0.007,346.973,0,6,15087,0xb3f9ecfb99158b0ffb2299148e23d2dd47ea504b1af3320c4b1fa7f84bb8a7f0,0x490ff50fa274366b4445cbb9b7f0bf8ec06c0e1ff8548d27aebb585d36a57640,1315,3,0xC072BB286a1d180F82BF60Af1FB9B41a502e43d5,true,true,[],
0,6,livebench-2026-09-02T03-58-19-675Z-0-normal-6,normal,ANCHORED,SATISFIED,500.068,140,360.068,0.004,352.898,0,6,15085,0xb0a8aa4e8e46869f832f85769f6546dd95fee9edda3974190260d1db05f2a936,0xc574eb414c27fc938bf62f7092246878dda04ac99a2e087fcb0983c773c7ac05,1315,1,0x5d6B631446e0C25B03e503971b9D995786866D45,true,true,[],
0,4,livebench-2026-09-02T03-58-19-675Z-0-normal-4,normal,ANCHORED,SATISFIED,529.024,149,380.024,0.004,372.779,0,6,15085,0x92115b72becb2c9a52a3b65652e62be7a2382d6ddf10d47df00ad5b952bfe8e1,0xb55e5f65127efe795e2cd26442323ad357000fd39d0a7e91531eb1b7dca3b6ac,1315,2,0xFf5024aa8476C76bc12331a5e1ef7766F353f8dc,true,true,[],
0,5,livebench-2026-09-02T03-58-19-675Z-0-normal-5,normal,ANCHORED,SATISFIED,531.584,146,385.584,0.077,374.808,0,6,15085,0xf613fb6086362c5758794875dfe73677f5a8eba8578b1a0d4358c807e10ab0fa,0x158db7181a23dae2b2c572f388b3c1083da177061ac1cb4f6f775c6b905b6a64,1315,0,0x69dC33255C776F3E9c7C1A92351677839549208C,true,true,[],
0,11,livebench-2026-09-02T03-58-19-675Z-0-normal-11,normal,ANCHORED,SATISFIED,460.18,109,351.18,0.005,343.275,0,6,15095,0xc8e687ccdbdcb663048db55ebfb928e2ec91bc111fff7993d69c44184f0d5649,0x25bfea8d8e2b07698f383b7d75b1d8d1b3e1313c315029b8549c7c6d072f2a3c,1316,1,0x5d6B631446e0C25B03e503971b9D995786866D45,true,true,[],
0,8,livebench-2026-09-02T03-58-19-675Z-0-normal-8,normal,ANCHORED,SATISFIED,500.993,136,364.993,0.005,357.834,0,6,15085,0xbdd7fd4e1d1749ba59ef35d80cf9566f1f91a76b0324d76f5bccbbcae9c8bdab,0x1b0bf9d0368b377f268b1b7ab3e68c1bfd3cc8be77e0191972693acdf486ffa2,1316,3,0xC072BB286a1d180F82BF60Af1FB9B41a502e43d5,true,true,[],
