run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,appliedFaults,error
0,0,livebench-2026-08-25T01-27-56-213Z-0-normal-0,normal,ANCHORED,SATISFIED,1395.67,1120,275.67,0,6,14480,0x22cf498717f89fce2fe8f2ac48bfeeca49c42a5bb7b1ad1da6c09400a946eda5,0xb406313e581e567af6ff8e9f9078986bb0909e41bfb0aa8f95479a84c455853b,7,true,true,[],
0,0,livebench-2026-08-25T01-27-56-213Z-0-fabric_endpoint_retry-0,fabric_endpoint_retry,ANCHORED,SATISFIED,494.329,124,370.329,1,7,15028,0x35d4033537ebf998b2b2a2ad5d687887b0c7071d4cf82fbfb62927c386ec8165,0x8a9df493135af1b49de298f02e94696937f2ac269ea2b83c8a00dcb2adde94b2,8,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-fabric_endpoint_retry-0"",""nodeId"":""order_fabric"",""attempt"":1,""candidate"":""fabric-peer-0"",""action"":""error""}]",
0,0,livebench-2026-08-25T01-27-56-213Z-0-fisco_endpoint_retry-0,fisco_endpoint_retry,ANCHORED,SATISFIED,494.411,89,405.411,1,7,15028,0x283d2a91b8730bc1abb9ff18cefdbd47e33002dc13347d2fb0aab20aedbbbdfd,0x1ae600f6c27a8473f71afba5414ce3470a3c819cb524581c70fd820bceeea88e,9,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-fisco_endpoint_retry-0"",""nodeId"":""logistics_fisco"",""attempt"":1,""candidate"":""fisco-node-0"",""action"":""error""}]",
0,0,livebench-2026-08-25T01-27-56-213Z-0-semantic_service_timeout-0,semantic_service_timeout,ANCHORED,SATISFIED,513.926,275,238.926,1,7,15164,0xffbddb14c260de97ef9b9a11dc98ed4edfb6652730af8dea8340a568cb943cfe,0xcb6e83f86f75520cd7c8d5c7f17ae949616e3635cdfdfd6773960164b154e3db,10,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-semantic_service_timeout-0"",""nodeId"":""quality_semantic"",""attempt"":1,""candidate"":""local-semantic-a"",""action"":""timeout""}]",
0,0,livebench-2026-08-25T01-27-56-213Z-0-fabric_endpoint_exhausted-0,fabric_endpoint_exhausted,FAILED,,521.494,126,395.494,1,7,13344,0x24fd17dae383d59e58304a66d8220d57cb6ed319859c1ea8249785b2cb0529f5,0x8bde0e1dd8872668919cb6eb76e789ee571a506f2ee4c9a2e10dc2a4d6d355c5,11,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-fabric_endpoint_exhausted-0"",""nodeId"":""order_fabric"",""attempt"":1,""candidate"":""fabric-peer-0"",""action"":""error""},{""faultId"":""fault-1"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-fabric_endpoint_exhausted-0"",""nodeId"":""order_fabric"",""attempt"":2,""candidate"":""fabric-peer-1"",""action"":""error""}]",
0,0,livebench-2026-08-25T01-27-56-213Z-0-semantic_disagreement-0,semantic_disagreement,INSUFFICIENT_EVIDENCE,INSUFFICIENT,479.152,79,400.152,1,7,14649,0xe452957458fb5a1295b1087a58295d6ea5fe6604c43263d60b1e3321b9951b17,0xa4618085283013e57bcef5ec0b7674a03d5ad2beede228e6d04aba797bcd9e0b,12,true,true,"[{""faultId"":""fault-0"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-semantic_disagreement-0"",""nodeId"":""quality_semantic"",""attempt"":1,""candidate"":""local-semantic-a"",""action"":""mutate""},{""faultId"":""fault-1"",""queryId"":""livebench-2026-08-25T01-27-56-213Z-0-semantic_disagreement-0"",""nodeId"":""quality_semantic"",""attempt"":2,""candidate"":""local-semantic-b"",""action"":""mutate""}]",
